rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/n_updates,train/std,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
2845.2612,389,32768,706.3055555555555,1,84,,,,,,,,,,,,,
2887.6497,391,65536,703.2235294117647,2,167,38058.99945373535,0.002290356692901696,2480,0.3945159912109375,0.2,12755.96484375,0.05338162183761597,-1.947022707760334,0.0099475365,0.0001,0.0955352783203125,,
2448.661,384,98304,717.61,3,255,35444.32125854492,0.000602875124241109,2490,0.39448973536491394,0.2,9620.6943359375,0.12983888387680054,-1.946522912196815,0.006932657,0.0001,0.052532958984375,,
2662.2273,378,131072,737.85,4,346,163172.22684631348,0.0001852348752436228,2500,0.3944639265537262,0.2,63832.56640625,0.1598496437072754,-1.9462577601894737,0.0065265587,0.0001,0.0496002197265625,,
3571.8174,377,163840,774.85,5,434,36147.52985534668,0.0015970065858709858,2510,0.3942881226539612,0.2,10536.5048828125,0.3506733179092407,-1.9452666252851487,0.008331403,0.0001,0.0720184326171875,,
4129.5757,376,196608,821.23,6,521,35636.03549194336,-0.0010224129855487263,2520,0.3942262530326843,0.2,11344.87109375,0.35737645626068115,-1.9440286200493575,0.0069933934,0.0001,0.057073974609375,,
4269.803,378,229376,822.87,7,606,34587.99604034424,0.0006457924191636266,2530,0.3941783308982849,0.2,12991.7734375,0.2450050711631775,-1.9434447260573506,0.007651129,0.0001,0.06104736328125,,
4880.8647,378,262144,870.02,8,692,37162.34301147461,-4.00371751311468e-05,2540,0.3941163420677185,0.2,12616.1669921875,0.33218204975128174,-1.9429010219871998,0.0061266683,0.0001,0.0427642822265625,,
4926.3086,378,294912,853.93,9,779,33673.92691955566,0.00016285761594190263,2550,0.3940892815589905,0.2,13277.27734375,0.33108842372894287,-1.942403153143823,0.0066840146,0.0001,0.05128173828125,,
5055.9067,377,327680,844.39,10,867,36207.981216430664,-0.00024353519947908353,2560,0.3939865827560425,0.2,15506.8505859375,0.44963377714157104,-1.941787418909371,0.006009007,0.0001,0.0464447021484375,,
5534.372,377,360448,861.74,11,955,35824.08536682129,-3.428555828577373e-05,2570,0.39394411444664,0.2,13046.9208984375,0.37405925989151,-1.9410598738119007,0.0069742575,0.0001,0.0505615234375,,
5906.9194,376,393216,880.52,12,1045,39883.43157348633,0.0004169193638517754,2580,0.3938387334346771,0.2,15054.21484375,0.4199978709220886,-1.9403135854750873,0.0062727914,0.0001,0.04736328125,,
6370.2017,375,425984,889.45,13,1134,36118.286318969724,-7.212419513962232e-05,2590,0.3937932550907135,0.2,12454.369140625,0.45215797424316406,-1.9395109066739677,0.005850372,0.0001,0.0412078857421875,,
6605.6113,375,458752,891.92,14,1220,38786.423327636716,0.0007703499621129594,2600,0.3937903642654419,0.2,18280.61328125,0.44021958112716675,-1.939198750630021,0.0054783,0.0001,0.03521728515625,,
6546.502,375,491520,875.39,15,1308,36402.06987304687,-8.110903836495708e-05,2610,0.39365753531455994,0.2,9263.6640625,0.45988190174102783,-1.938508241251111,0.0056781825,0.0001,0.037847900390625,,
6474.815,375,524288,858.63,16,1396,33628.38595275879,-0.00041695761028677226,2620,0.3936420977115631,0.2,12450.947265625,0.45381736755371094,-1.937688633799553,0.005184145,0.0001,0.0354827880859375,,
6432.641,375,557056,853.05,17,1483,35110.56996154785,0.0006951689272682415,2630,0.39359477162361145,0.2,15392.43359375,0.4581804871559143,-1.9373877907171846,0.005550665,0.0001,0.0382598876953125,,
6455.462,375,589824,848.89,18,1572,31498.814054870607,-0.0006254024658119306,2640,0.39353686571121216,0.2,11182.2509765625,0.5055260062217712,-1.9368630826473237,0.0048833536,0.0001,0.0300262451171875,,
6441.04,375,622592,850.72,19,1659,30064.77840423584,-0.0003054921344300965,2650,0.393507719039917,0.2,9720.2158203125,0.5555446445941925,-1.9364027412608267,0.005630705,0.0001,0.03970947265625,,
6596.24,374,655360,850.96,20,1748,32535.895108032226,-0.0008200208725611446,2660,0.393465518951416,0.2,10063.4541015625,0.5188405513763428,-1.9360257621854544,0.0054732785,0.0001,0.035260009765625,,
6264.6675,374,688128,801.59,21,1835,33163.749868774416,0.00014875866545480677,2670,0.3933347463607788,0.2,8929.9892578125,0.5670003592967987,-1.935169188119471,0.0050098724,0.0001,0.0263763427734375,,
6378.0195,374,720896,810.18,22,1925,38788.61049194336,-0.0005685469674062915,2680,0.393291711807251,0.2,13952.8056640625,0.5083429515361786,-1.9341982509940863,0.005427399,0.0001,0.040130615234375,,
6272.9224,374,753664,811.29,23,2015,30520.285090637208,0.00039379470217681956,2690,0.39321285486221313,0.2,10922.1025390625,0.6209385991096497,-1.9335868006572128,0.0051498506,0.0001,0.0333282470703125,,
6674.353,374,786432,834.23,24,2102,35292.071893310545,-0.0003744456895219628,2700,0.3931409418582916,0.2,14835.548828125,0.5757043361663818,-1.9328204536810518,0.005424738,0.0001,0.035125732421875,,
7434.3223,373,819200,849.65,25,2193,35774.514157104495,-0.00024292913331009914,2710,0.3930734395980835,0.2,13465.3037109375,0.5387079119682312,-1.9321426102891563,0.0047465153,0.0001,0.0289215087890625,,
7987.321,373,851968,882.6,26,2283,34293.56884155273,-0.0011852802188514033,2720,0.3929803967475891,0.2,11595.9833984375,0.5790895223617554,-1.9313185296952724,0.0047577797,0.0001,0.0293212890625,,
8412.394,372,884736,920.48,27,2373,29698.15562438965,-0.000463007042708341,2730,0.39287009835243225,0.2,10000.0078125,0.6079445779323578,-1.9302871050313115,0.0054792576,0.0001,0.03603515625,,
8503.304,372,917504,940.76,28,2465,34207.440225219725,-0.0005304982569214189,2740,0.3928161859512329,0.2,9098.689453125,0.5525113344192505,-1.9294290110468864,0.004762565,0.0001,0.0268646240234375,,
7861.4814,371,950272,928.47,29,2558,31188.533372497557,0.0007150240773626138,2750,0.39276498556137085,0.2,9240.212890625,0.6586357355117798,-1.9289181735366583,0.005391906,0.0001,0.0324188232421875,,
7687.525,371,983040,903.07,30,2648,112575.82529907227,-0.00029180472847656347,2760,0.3928026556968689,0.2,16401.427734375,0.39448344707489014,-1.9287781173363328,0.0048674378,0.0001,0.031427001953125,,
8197.911,370,1015808,878.73,31,2739,39459.01764526367,0.0006190593137944233,2770,0.39277520775794983,0.2,10265.12109375,0.5580975115299225,-1.9288649376481772,0.0046110316,0.0001,0.024322509765625,,
8262.788,370,1048576,898.25,32,2829,37932.48970336914,8.237514703068882e-06,2780,0.39274436235427856,0.2,14005.8544921875,0.5147859156131744,-1.9285787504166365,0.004959259,0.0001,0.02696533203125,,
8568.95,370,1081344,936.82,33,2921,36522.48349609375,-0.0006757683098840061,2790,0.39270395040512085,0.2,10118.6513671875,0.5831653475761414,-1.928239587880671,0.0047502597,0.0001,0.0275054931640625,,
8299.35,369,1114112,942.97,34,3013,34346.98561706543,6.975946816965007e-05,2800,0.39264798164367676,0.2,11300.478515625,0.5712839365005493,-1.9277382556349039,0.004585525,0.0001,0.02747802734375,,
8431.865,369,1146880,948.22,35,3104,33744.18236694336,0.00020253287329978774,2810,0.3925969898700714,0.2,8652.474609375,0.6120750606060028,-1.9271885123103858,0.0049192673,0.0001,0.032470703125,,
8246.398,369,1179648,900.53,36,3195,37122.03559875488,-0.00036457213209359904,2820,0.39257535338401794,0.2,15385.9599609375,0.5564330816268921,-1.9268541080877184,0.004350342,0.0001,0.0256744384765625,,
8434.581,368,1212416,900.59,37,3286,38214.53049621582,-4.624528628482949e-05,2830,0.3924890160560608,0.2,15665.658203125,0.5407125353813171,-1.9263723395764827,0.0045765685,0.0001,0.0214508056640625,,
7883.2637,368,1245184,871.98,38,3376,34967.13203430176,-8.526013989467174e-05,2840,0.39245879650115967,0.2,11307.2763671875,0.5568191409111023,-1.9257526516914367,0.0047786217,0.0001,0.0271331787109375,,
7796.753,368,1277952,866.6,39,3466,37437.36201934815,0.00032338352684746496,2850,0.3924286961555481,0.2,10578.283203125,0.5013948678970337,-1.925462359189987,0.004734378,0.0001,0.0270660400390625,,
8681.831,368,1310720,933.24,40,3559,38378.26614379883,-0.000442274958913913,2860,0.39239028096199036,0.2,12540.126953125,0.4934070110321045,-1.9251039903610945,0.0048699323,0.0001,0.030694580078125,,
9368.262,367,1343488,994.53,41,3653,29172.81971130371,-0.0004509945156314643,2870,0.39230096340179443,0.2,8294.90234375,0.5870373547077179,-1.9244237802922726,0.0060694246,0.0001,0.0447845458984375,,
9889.59,367,1376256,1036.19,42,3745,30587.763276672362,-0.00016049065088736826,2880,0.3922906517982483,0.2,11495.13671875,0.6123087108135223,-1.923867227882147,0.0044336063,0.0001,0.027587890625,,
9699.4795,366,1409024,1021.81,43,3840,32433.055867004394,7.184230744314846e-05,2890,0.39221033453941345,0.2,9846.9140625,0.572618842124939,-1.9233869850635528,0.00654366,0.0001,0.0533203125,,
10308.71,366,1441792,1066.74,44,3939,30810.841636657715,-0.00029405990098894106,2900,0.39218467473983765,0.2,9366.453125,0.5985152125358582,-1.9228385301306843,0.0044486695,0.0001,0.0279754638671875,,
10732.3125,365,1474560,1076.42,45,4035,32895.868772888185,0.000128618875896791,2910,0.39217931032180786,0.2,10360.9951171875,0.5597768127918243,-1.9226609535515309,0.005009641,0.0001,0.03887939453125,,
10403.664,365,1507328,1047.81,46,4126,34138.89983825684,-0.0001141926390118897,2920,0.39223185181617737,0.2,10342.302734375,0.6135797500610352,-1.9228848004713655,0.0056242226,0.0001,0.035382080078125,,
10327.992,365,1540096,1046.66,47,4218,35515.148777771,0.0005279207078274339,2930,0.3921709954738617,0.2,11234.4404296875,0.5271731615066528,-1.9228992873802782,0.0044714767,0.0001,0.028582763671875,,
9998.587,364,1572864,1036.54,48,4311,28512.250366210938,0.0007208788438219926,2940,0.3920971155166626,0.2,12208.57421875,0.6760320663452148,-1.922237735427916,0.0056414157,0.0001,0.043524169921875,,
,,1600000,,,,30507.83990020752,7.790221025061328e-05,2950,0.3920166790485382,0.2,10178.2314453125,0.6627275049686432,-1.9214638233184815,0.005370682,0.0001,0.0384185791015625,2184.614013671875,697.85
10447.1875,342,1605632,1067.14,49,4691,,,,,,,,,,,,,
10372.956,342,1638400,1050.7,50,4782,30046.99919433594,-0.0003597963059291942,2960,0.3920136094093323,0.2,10100.005859375,0.6281023621559143,-1.9210525009781123,0.004525831,0.0001,0.0299774169921875,,
10040.251,342,1671168,1001.24,51,4873,30872.350282287596,-0.0006116830791143002,2970,0.3919282555580139,0.2,9927.7744140625,0.6077651381492615,-1.9206247448921203,0.0046593593,0.0001,0.027093505859375,,
9470.133,342,1703936,964.11,52,4969,35890.03142700195,-4.085405853402335e-05,2980,0.3918280303478241,0.2,11095.689453125,0.5836289525032043,-1.9196603873744607,0.0049201297,0.0001,0.033892822265625,,
9622.126,343,1736704,982.67,53,5060,31208.005624389647,-9.58200660534203e-05,2990,0.391776978969574,0.2,8169.60302734375,0.6100578308105469,-1.9188828950747847,0.00468792,0.0001,0.023876953125,,
10041.74,343,1769472,1020.74,54,5153,35445.41239929199,0.0009733498784044059,3000,0.391767680644989,0.2,13140.2998046875,0.6051420867443085,-1.918534248508513,0.005926498,0.0001,0.044989013671875,,
10165.052,343,1802240,1023.69,55,5246,29206.135150146485,0.0005635911962599494,3010,0.3916575312614441,0.2,8263.2578125,0.6025166511535645,-1.9180020436644554,0.0043591596,0.0001,0.0279449462890625,,
10279.973,343,1835008,1038.54,56,5342,34391.93630981445,-0.00024838161989464423,3020,0.3915734887123108,0.2,10269.154296875,0.6000530123710632,-1.9169675508514046,0.0042690923,0.0001,0.0266937255859375,,
10034.825,343,1867776,1024.82,57,5433,28022.163023376466,-0.0007405071748507908,3030,0.3915424942970276,0.2,9532.052734375,0.6385341286659241,-1.9163565246388317,0.004996038,0.0001,0.0310699462890625,,
9928.858,344,1900544,1043.23,58,5524,32998.43753967285,-2.195621891587507e-05,3040,0.39147138595581055,0.2,11721.58984375,0.6131683588027954,-1.9158503357321024,0.0051573417,0.0001,0.0325927734375,,
9479.546,344,1933312,994.71,59,5616,32283.069299316405,-0.00041496139965602197,3050,0.3914686441421509,0.2,9199.427734375,0.577586829662323,-1.9154169749468566,0.0055814637,0.0001,0.0361328125,,
