Episode,Reward
1,613.1051
2,-6178.247
3,-6139.771
4,-10205.45
5,-850.866
6,-362.1621
7,2811.3938
8,-643.4669
9,-496.4356
10,-5367.1533
11,-608.4464
12,-9709.438
13,-989.2021
14,-9337.725
15,-10890.292
16,345.33038
17,5369.7085
18,-4298.787
19,1979.8978
20,-8614.624
21,1572.748
22,-5786.496
23,-8961.688
24,-12568.209
25,-6903.0566
26,-26154.22
27,1704.4048
28,5549.5137
29,-516.6138
30,-12484.893
31,2780.5894
32,1863.5742
33,4275.8354
34,-7228.226
35,-778.7755
36,1754.5667
37,-7480.464
38,-23603.062
39,-602.224
40,1537.9064
41,1531.0327
42,-13334.171
43,-6561.611
44,-6107.2573
45,4185.453
46,4457.415
47,4647.748
48,-7133.2554
49,-8735.451
50,-11599.222
51,-513.3077
52,1682.6699
53,34.768116
54,1233.4124
55,-4368.8994
56,-6327.3276
57,-6146.413
58,-6092.8853
59,-10840.586
60,-197.07518
61,-6340.789
62,-1173.3436
63,-7509.0625
64,-366.78458
65,-7916.5625
66,-5535.916
67,-6474.3276
68,-6496.5815
69,-681.22345
70,-8337.365
71,-231.31825
72,-648.22
73,-2436.2268
74,-679.81555
75,-12044.324
76,-379.74106
77,-7032.9443
78,-5710.06
79,-8252.834
80,-4991.732
81,-9904.31
82,-8958.61
83,-8089.0576
84,-6590.004
85,-408.69803
86,127.0058
87,1830.9036
88,4303.104
89,-412.14688
90,-373.96713
91,-6083.257
92,148.4599
93,-9991.977
94,1586.5696
95,1046.4167
96,-1066.0369
97,-9494.867
98,-6526.196
99,-780.62225
100,653.7386
