number,value,params_batch_size,params_exponent,params_feature_dim,params_hiddens_1,params_hiddens_2,params_hiddens_3,params_rl_frequency,state
0,6674.18603515625,128,-4,512,128,256,512,15,COMPLETE
1,4471.00732421875,128,-4,512,128,256,512,15,COMPLETE
2,6501.572265625,128,-4,512,128,256,512,15,COMPLETE
3,3113.718994140625,128,-4,512,128,256,512,15,COMPLETE
4,9261.2822265625,128,-4,512,128,256,512,15,COMPLETE
5,-1342.1976318359375,128,-4,512,128,256,512,15,COMPLETE
6,772.977294921875,128,-4,512,128,256,512,15,COMPLETE
7,462.3081970214844,128,-4,512,128,256,512,15,COMPLETE
8,-3780.090576171875,128,-4,512,128,256,512,15,COMPLETE
9,-6881.29736328125,128,-4,512,128,256,512,15,COMPLETE
