Episode,Reward
1,-62.234978
2,938.0214
3,-1201.8853
4,1897.6788
5,1739.435
6,5855.2163
7,4793.1313
8,7733.046
9,-541.6522
10,2918.8823
11,4832.3994
12,3928.1628
13,1305.9423
14,2634.75
15,5784.2676
16,1800.8643
17,2435.2144
18,6536.3306
19,-2547.7961
20,3168.7888
21,2423.4219
22,1949.6897
23,12953.708
24,6452.11
25,2888.2517
26,3614.0916
27,2971.5947
28,2372.1306
29,6647.32
30,3361.6604
31,2666.608
32,10652.779
33,2986.1099
34,1571.6525
35,14758.4
36,2988.624
37,3302.512
38,7427.257
39,4247.849
40,3251.6433
41,9010.936
42,3993.5242
43,14282.451
44,473.74298
45,86.18393
46,8068.957
47,1573.7052
48,3080.3423
49,5409.19
50,17.42626
51,6089.3438
52,-1875.6255
53,2641.0256
54,2272.8389
55,5801.6606
56,1210.0671
57,-1039.1307
58,556.58704
59,1241.959
60,966.2057
61,1076.9615
62,11308.139
63,4988.8843
64,3290.3755
65,5965.6284
66,1334.5475
67,-955.63104
68,-1333.4915
69,2697.4177
70,11162.769
71,3468.4236
72,4748.889
73,11793.649
74,1128.1287
75,9239.574
76,-8.216309
77,3057.4265
78,1531.1708
79,7131.684
80,7682.754
81,1902.6832
82,1316.2384
83,5212.484
84,5045.1777
85,498.4315
86,2874.505
87,815.4296
88,2439.4749
89,1329.6318
90,9275.776
91,1859.8438
92,1878.2161
93,12824.226
94,5767.7437
95,10042.042
96,5646.6353
97,5493.256
98,6262.113
99,-84.199776
100,1747.4249
