time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
16384,502,677.7142857142857,1,2912.5637,32,,,,,,,,,,,,,
32768,371,721.6829268292682,2,3165.0457,88,10236.80078125,0.2,0.015949268,0.1647216796875,0.0034717325106612407,2480,0.39451178908348083,-1.947057681158185,0.0003,32087.13578491211,0.046453118324279785,,
49152,345,677.2537313432836,3,2566.264,142,8657.2900390625,0.2,0.010430446,0.104833984375,0.002659524269256508,2490,0.39427196979522705,-1.9452743962407113,0.0003,26605.022711181642,0.0552525520324707,,
65536,330,689.5666666666667,4,2710.3125,198,6088.3955078125,0.2,0.009739841,0.09639892578125,0.0013768565566351753,2500,0.3939175605773926,-1.942334258928895,0.0003,23567.91580810547,0.053158462047576904,,
81920,322,705.04,5,2754.354,253,5308.4296875,0.2,0.008596216,0.081427001953125,0.001197340811995673,2510,0.39392542839050293,-1.9405402962118388,0.0003,24483.732830810546,0.09285503625869751,,
98304,317,711.29,6,2736.0266,309,4354.05712890625,0.2,0.009338763,0.09114990234375,0.0010312993344996357,2520,0.39371106028556824,-1.939572524279356,0.0003,20537.507513427736,0.23241865634918213,,
114688,313,708.61,7,2792.4446,365,5149.35400390625,0.2,0.008122319,0.079803466796875,-0.0002985343773616478,2530,0.3936411738395691,-1.9380523584783078,0.0003,23182.52817993164,0.2823343276977539,,
131072,310,713.58,8,2862.2297,422,5726.00634765625,0.2,0.008425722,0.08409423828125,-0.001203453049674863,2540,0.39361879229545593,-1.937429676949978,0.0003,25413.913323974608,0.17214858531951904,,
147456,307,754.93,9,3440.4612,479,5627.990234375,0.2,0.008680448,0.07491455078125,0.0011751532822017908,2550,0.39360496401786804,-1.9372412752360106,0.0003,23973.561297607423,0.2944037914276123,,
163840,304,782.72,10,3865.7153,537,5549.23681640625,0.2,0.008434312,0.0792724609375,0.000978893916180823,2560,0.3934779763221741,-1.9366804160177709,0.0003,23243.49071044922,0.28727883100509644,,
180224,302,804.04,11,4306.5176,595,5667.7734375,0.2,0.007880881,0.076153564453125,0.0006105865431891289,2570,0.3934869170188904,-1.935958558320999,0.0003,22070.79821166992,0.4053577780723572,,
196608,301,839.28,12,4770.003,651,6518.76953125,0.2,0.007960575,0.07135009765625,0.0005537780452868901,2580,0.3933280110359192,-1.9353566884994506,0.0003,22059.36371612549,0.36106663942337036,,
212992,300,855.05,13,5022.3887,708,4824.03271484375,0.2,0.00985395,0.089013671875,0.001828666605069884,2590,0.39329856634140015,-1.9341395992785693,0.0003,21170.68385925293,0.4744744300842285,,
229376,299,866.21,14,5327.7524,765,5883.35791015625,0.2,0.007993948,0.07408447265625,-2.720640623010695e-05,2600,0.393180787563324,-1.9334784295409917,0.0003,22590.445077514647,0.38646531105041504,,
245760,298,864.09,15,5435.753,822,6120.93359375,0.2,0.008576399,0.0836181640625,-0.00040312812543561447,2610,0.39302513003349304,-1.9320664893835784,0.0003,20691.27075653076,0.3991903066635132,,
262144,298,860.81,16,5379.273,879,7129.1416015625,0.2,0.00711389,0.061016845703125,0.00018577769296825863,2620,0.3929322361946106,-1.9309104979038239,0.0003,25148.98146057129,0.3706902861595154,,
278528,296,883.84,17,5697.964,938,5677.7109375,0.2,0.0081802765,0.07265625,0.0002770556377072353,2630,0.3928104043006897,-1.9298187848180532,0.0003,20427.887995910645,0.3484499454498291,,
294912,296,898.41,18,5886.28,995,7426.45751953125,0.2,0.00964704,0.094110107421875,0.002783441212886828,2640,0.39269328117370605,-1.9285019490867854,0.0003,22210.19515686035,0.5165291130542755,,
311296,295,911.68,19,5987.232,1051,6106.26416015625,0.2,0.007697521,0.081689453125,2.926592314906884e-05,2650,0.39254963397979736,-1.927048197761178,0.0003,20615.73318939209,0.3672659993171692,,
327680,295,931.65,20,6204.4204,1109,5912.84765625,0.2,0.007020934,0.06220703125,-0.0004189301678707125,2660,0.39243894815444946,-1.9257364928722382,0.0003,20294.51628417969,0.5397035181522369,,
344064,294,927.46,21,6160.581,1167,6650.22119140625,0.2,0.006561246,0.0588623046875,-0.00010922462970484049,2670,0.3922654986381531,-1.9242217499762773,0.0003,22759.876234436037,0.4894225597381592,,
360448,294,917.71,22,6056.287,1224,5438.79736328125,0.2,0.006497913,0.06063232421875,-0.0010853954288904788,2680,0.3921343684196472,-1.9227142617106439,0.0003,24102.2869720459,0.41569191217422485,,
376832,293,899.8,23,5941.334,1283,7165.166015625,0.2,0.006376477,0.0511962890625,-0.0003461535943642957,2690,0.3920232057571411,-1.9215961776673793,0.0003,24398.81237487793,0.3002339005470276,,
393216,293,910.94,24,6212.1025,1341,7118.89599609375,0.2,0.0076117087,0.069305419921875,0.00010638931707944721,2700,0.3918025493621826,-1.9198906999081373,0.0003,25125.758779907228,0.34469181299209595,,
