Episode,Reward
1,-2115.2375
2,-15.706886
3,-4118.8027
4,2355.2507
5,1337.1687
6,-660.3794
7,530.1178
8,-1307.6488
9,-1772.4089
10,-8563.224
11,383.54675
12,-913.88477
13,-4828.5024
14,4583.3564
15,-4501.1714
16,-1493.1338
17,-2880.477
18,8895.709
19,-2182.7673
20,3809.5361
21,5635.507
22,-1214.8322
23,6571.685
24,100.24736
25,11712.753
26,-1972.3008
27,-476.44467
28,-4978.426
29,-390.6308
30,2364.8064
31,3905.6812
32,8216.128
33,2810.2957
34,1655.7382
35,-3497.6025
36,2133.603
37,5798.6924
38,4991.024
39,-69.46521
40,-3519.1921
41,14783.485
42,14611.182
43,2271.0967
44,-11742.377
45,10069.819
46,-113.74974
47,-484.18332
48,-358.33817
49,-52.13542
50,11426.282
51,12301.15
52,-2917.7327
53,893.93945
54,-4637.27
55,4493.9365
56,4.0415297
57,-1369.9113
58,-407.654
59,-1107.9485
60,8075.5674
61,1925.1844
62,7714.44
63,-2797.874
64,-1208.4796
65,42.912945
66,1082.892
67,97.38236
68,38.95062
69,905.26514
70,-2690.6946
71,-124.13494
72,520.6834
73,-4816.5566
74,-909.55536
75,-770.0061
76,-349.409
77,5204.5586
78,13597.703
79,1323.5327
80,-2139.5518
81,-4303.3276
82,2832.906
83,2486.7705
84,5724.643
85,11951.339
86,-79.54769
87,-1113.8625
88,-6022.481
89,2944.444
90,-2002.0736
91,8196.124
92,11652.492
93,-31.711033
94,2333.1792
95,15590.26
96,-2482.5505
97,4571.468
98,9128.726
99,13782.752
100,345.57672
