number,value,params_batch_size,params_exponent,params_feature_dim,params_hiddens_1,params_hiddens_2,params_hiddens_3,params_rl_frequency,state
0,7286.42138671875,128,-3,512,128,256,512,15,COMPLETE
1,1766.4063720703125,512,-4,512,128,256,512,15,COMPLETE
2,546.5371704101562,128,-4,512,128,256,512,15,COMPLETE
3,6389.13330078125,512,-3,512,128,256,512,15,COMPLETE
4,7678.802734375,512,-4,512,128,256,512,15,COMPLETE
5,-1279.4501953125,128,-3,512,128,256,512,15,COMPLETE
6,1742.1016845703125,1024,-3,512,128,256,512,15,COMPLETE
7,5450.34619140625,1024,-3,512,128,256,512,15,COMPLETE
8,7617.69140625,256,-3,512,128,256,512,15,COMPLETE
9,7144.82763671875,2048,-3,512,128,256,512,15,COMPLETE
