Episode,Reward
1,-1901.6558
2,2952.783
3,1098.181
4,1468.723
5,6875.6323
6,7220.55
7,10713.492
8,8182.074
9,5162.052
10,-29763.775
11,11242.094
12,4769.414
13,10498.922
14,4030.9058
15,8084.282
16,12368.129
17,11702.437
18,12654.287
19,4580.919
20,9133.326
21,2648.2175
22,16892.086
23,6806.31
24,7650.106
25,17639.65
26,3313.436
27,10119.547
28,10827.77
29,7129.8115
30,1987.6267
31,9399.205
32,6743.244
33,-4643.5693
34,13342.583
35,12603.3545
36,4010.685
37,3214.7534
38,325.3468
39,7863.527
40,16442.064
41,7918.768
42,1966.7322
43,14998.167
44,9844.908
45,13900.143
46,-614.6542
47,5668.6943
48,2783.9854
49,6696.7666
50,11710.702
51,2625.396
52,5471.858
53,9351.74
54,10066.761
55,10134.111
56,1143.8182
57,8366.646
58,2641.889
59,9091.63
60,4672.865
61,4906.127
62,5901.7246
63,13269.96
64,11209.551
65,14092.115
66,9354.75
67,13687.726
68,8226.56
69,3442.5073
70,7447.88
71,10661.723
72,7596.351
73,6165.468
74,1039.0419
75,775.3357
76,6076.825
77,17461.256
78,7542.981
79,7361.453
80,13709.078
81,6775.192
82,21458.92
83,10007.179
84,4764.536
85,11468.805
86,-957.28546
87,4591.759
88,10496.478
89,11041.223
90,5525.4097
91,3784.017
92,13981.377
93,20688.908
94,2364.2793
95,8489.432
96,14357.001
97,6626.1978
98,14873.191
99,11247.436
100,4042.1829
