Episode,Reward
1,6331.3877
2,5099.7227
3,2198.2644
4,9496.735
5,-23.068253
6,7308.6714
7,1226.5615
8,3813.9524
9,12086.232
10,13160.013
11,-440.46036
12,3634.0686
13,5064.7144
14,-1243.7963
15,10534.368
16,15885.502
17,11697.728
18,20684.178
19,2815.8252
20,4166.2305
21,18870.912
22,22009.477
23,304.1478
24,11171.724
25,3717.5693
26,15743.064
27,7789.2915
28,13969.205
29,-45.843124
30,3632.4463
31,1259.3391
32,9067.163
33,8244.211
34,13634.235
35,12089.495
36,11725.043
37,15557.535
38,17330.535
39,7924.5454
40,16085.743
41,8879.145
42,20858.242
43,1217.9095
44,20207.146
45,5550.6924
46,3187.7456
47,16370.153
48,25411.48
49,15948.141
50,6737.0435
51,9462.135
52,9981.04
53,2100.1638
54,11933.503
55,1998.4011
56,12104.982
57,1163.3796
58,14804.219
59,13072.482
60,7059.4175
61,-422.2481
62,-1331.7737
63,8208.792
64,28311.52
65,795.5869
66,1905.7996
67,10209.137
68,12113.636
69,10626.258
70,15403.561
71,798.87994
72,11296.738
73,20655.164
74,6525.421
75,165.93622
76,18596.586
77,13817.428
78,6526.2725
79,736.88446
80,14592.609
81,906.60504
82,-513.3056
83,16832.523
84,8972.946
85,9122.441
86,16526.885
87,10206.094
88,17970.541
89,8687.026
90,-516.4814
91,11233.595
92,17168.264
93,9410.961
94,20680.129
95,11318.46
96,6208.799
97,13621.635
98,3294.084
99,31844.115
100,19984.518
