time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
117,1,5760.4805,278,955.375,32768,,,,,,,,,,,,,
236,2,5375.7417,276,928.5254237288135,65536,0.0001,0.08938276767730713,17580.658203125,48931.44616699219,-1.9469976998865604,0.2,0.008869303,0.0007001776619290467,0.39449816942214966,0.0693389892578125,2480,,
354,3,5394.512,277,938.8659793814433,98304,0.0001,0.15480023622512817,20232.974609375,51959.19291992187,-1.9464621387422085,0.2,0.0059438157,0.0001563954087032471,0.39449959993362427,0.0408599853515625,2490,,
473,4,5213.18,276,922.52,131072,0.0001,0.17573893070220947,21072.0390625,47922.11611328125,-1.9463969230651856,0.2,0.0060407785,-0.0002576833219791297,0.3944701850414276,0.039208984375,2500,,
594,5,5535.517,275,953.06,163840,0.0001,0.22628945112228394,16838.216796875,46731.71854248047,-1.94603548720479,0.2,0.0055026794,4.222127790853847e-05,0.3944361209869385,0.0287445068359375,2510,,
716,6,6141.045,274,991.22,196608,0.0001,0.3023506999015808,16384.89453125,42376.06754150391,-1.9458733022212982,0.2,0.0060931602,-0.0005330725263775094,0.3944404125213623,0.0359588623046875,2520,,
839,7,6613.8105,273,995.52,229376,0.0001,0.2807406187057495,16861.23828125,45104.63687744141,-1.9458016455173492,0.2,0.0057491837,-0.0002537213054893073,0.39441707730293274,0.040118408203125,2530,,
959,8,6896.8945,273,988.31,262144,0.0001,0.3389422297477722,23270.583984375,49164.44291992187,-1.9454986460506916,0.2,0.00503821,-0.0003503631789499195,0.3943900763988495,0.025372314453125,2540,,
1080,9,7508.3657,273,1007.4,294912,0.0001,0.2990986108779907,17173.33984375,47063.49912109375,-1.945250605046749,0.2,0.0061690155,-0.00016041842754930258,0.39436954259872437,0.036614990234375,2550,,
1203,10,7851.635,272,1042.86,327680,0.0001,0.40935277938842773,16926.99609375,41966.05322265625,-1.9449381686747074,0.2,0.0050755655,-1.560748351039365e-05,0.3943338990211487,0.0239227294921875,2560,,
1327,11,7981.6025,271,1034.47,360448,0.0001,0.4016796350479126,18607.236328125,47432.91293945313,-1.9444943636655807,0.2,0.004756054,-1.6466657325509004e-05,0.3942887783050537,0.0213775634765625,2570,,
1450,12,8096.6895,271,1005.17,393216,0.0001,0.47361570596694946,17812.7109375,43641.89078369141,-1.9441164433956146,0.2,0.0058563133,-0.0005319238538504578,0.3942590653896332,0.034332275390625,2580,,
1576,13,8391.39,270,1007.03,425984,0.0001,0.45925265550613403,20528.54296875,47478.313793945315,-1.9439813561737538,0.2,0.004225333,-1.459091727156192e-05,0.3942701518535614,0.01748046875,2590,,
1703,14,8724.685,269,1020.33,458752,0.0001,0.5297355353832245,18373.677734375,43939.85078125,-1.9438700318336486,0.2,0.004917569,-4.829737954423763e-05,0.39422371983528137,0.026556396484375,2600,,
1830,15,8629.013,268,1009.22,491520,0.0001,0.4899166226387024,15782.1884765625,41576.10551757812,-1.943467552959919,0.2,0.004397949,-0.0007946573372464627,0.3942039906978607,0.0198028564453125,2610,,
1957,16,8662.787,267,1019.91,524288,0.0001,0.4672810435295105,21848.15625,50563.693188476565,-1.9431787066161632,0.2,0.0035984346,0.00018011429565376603,0.39416468143463135,0.014019775390625,2620,,
2080,17,8390.271,267,1012.63,557056,0.0001,0.46637922525405884,18763.53125,46582.96229248047,-1.9426256999373437,0.2,0.0049214773,0.000578785101606627,0.39409080147743225,0.0252044677734375,2630,,
2203,18,8685.833,267,1028.23,589824,0.0001,0.5205861032009125,22359.9296875,48060.42752685547,-1.9420399717986583,0.2,0.0062851813,-0.00044099188853579107,0.39404988288879395,0.0395477294921875,2640,,
2324,19,8727.261,267,1023.61,622592,0.0001,0.531303733587265,17985.208984375,46139.71596679687,-1.9417465560138225,0.2,0.0051660985,-0.0001352724248135928,0.39403289556503296,0.0231475830078125,2650,,
2445,20,8504.865,267,963.03,655360,0.0001,0.45487189292907715,23519.802734375,54878.70180664062,-1.9415305614471436,0.2,0.0047848327,-0.0004426373816386331,0.3940054178237915,0.0237152099609375,2660,,
2564,21,7937.727,268,928.2,688128,0.0001,0.4831826090812683,20857.462890625,52647.453393554686,-1.9413198702037335,0.2,0.005452086,-0.00013145655248081312,0.3939998745918274,0.035943603515625,2670,,
2687,22,7996.168,268,928.36,720896,0.0001,0.46621137857437134,19738.716796875,52298.773706054686,-1.9412416510283947,0.2,0.004983334,-0.000847089883609442,0.3939869701862335,0.0243499755859375,2680,,
2810,23,8375.525,268,960.89,753664,0.0001,0.4615775942802429,21654.9765625,54918.24890136719,-1.9410439491271974,0.2,0.004753289,-0.00030366276259883305,0.3939642310142517,0.0260986328125,2690,,
2939,24,8793.091,267,980.97,786432,0.0001,0.49513089656829834,19397.021484375,51510.056811523435,-1.9408774182200432,0.2,0.0048167375,-0.00029847182595403864,0.39395350217819214,0.024700927734375,2700,,
3066,25,8831.775,267,977.82,819200,0.0001,0.5023541748523712,22197.115234375,53089.26787109375,-1.9405040547251702,0.2,0.00530253,-0.0007272727416420821,0.3938867747783661,0.037982177734375,2710,,
3191,26,9124.687,266,1000.68,851968,0.0001,0.49368882179260254,22619.11328125,52594.59475097656,-1.9399999484419823,0.2,0.0053587435,0.00021175421388761607,0.39385882019996643,0.0315399169921875,2720,,
3314,27,9000.665,266,1011.62,884736,0.0001,0.555388480424881,18414.265625,49628.89877929688,-1.9396276235580445,0.2,0.004358395,0.00017416872397006954,0.39380717277526855,0.0190032958984375,2730,,
3438,28,9250.655,266,1035.35,917504,0.0001,0.5977518260478973,19138.1953125,47902.3720703125,-1.9391454748809338,0.2,0.005047772,0.00019017447120859288,0.3937622904777527,0.028485107421875,2740,,
3564,29,9511.778,266,1059.88,950272,0.0001,0.5580040812492371,17786.658203125,46361.270263671875,-1.9387432113289833,0.2,0.005825458,-0.0009756975321579375,0.39373278617858887,0.04263916015625,2750,,
3688,30,9665.813,266,1050.99,983040,0.0001,0.5740744173526764,16556.25,45916.257421875,-1.938501626998186,0.2,0.00476514,0.0012013689018203876,0.393714040517807,0.0270843505859375,2760,,
3814,31,9868.61,266,1088.3,1015808,0.0001,0.6024754345417023,17186.76171875,44385.95760498047,-1.9383499473333359,0.2,0.004858912,-0.0001292213382839691,0.39370208978652954,0.0241607666015625,2770,,
3938,32,10286.383,266,1120.32,1048576,0.0001,0.5950579643249512,17659.26953125,42018.76533203125,-1.9382069818675518,0.2,0.0050698873,-0.0008154194285452832,0.3936826288700104,0.02449951171875,2780,,
4062,33,10513.8,266,1146.01,1081344,0.0001,0.58472940325737,18190.771484375,43805.165100097656,-1.937984251230955,0.2,0.00501678,-0.00016011928528314456,0.39365971088409424,0.027044677734375,2790,,
4189,34,10667.316,265,1130.57,1114112,0.0001,0.5488919317722321,18401.025390625,46198.167749023436,-1.937854428589344,0.2,0.004315827,0.00024163590642274358,0.3936614394187927,0.020965576171875,2800,,
4313,35,10831.523,265,1147.17,1146880,0.0001,0.6406829059123993,17170.69140625,45445.899914550784,-1.9377081260085105,0.2,0.004724999,0.00123365419676702,0.3936307728290558,0.030743408203125,2810,,
4437,36,11145.653,265,1159.29,1179648,0.0001,0.6024312078952789,15583.66796875,43814.463830566405,-1.937379789352417,0.2,0.0036633373,5.964849988231436e-05,0.39360108971595764,0.01414794921875,2820,,
4563,37,11375.049,265,1189.49,1212416,0.0001,0.5950088798999786,18164.8203125,41765.366638183594,-1.9371028527617455,0.2,0.0035470666,0.0005006169380067149,0.3935853838920593,0.0155364990234375,2830,,
4691,38,11473.47,265,1196.22,1245184,0.0001,0.6049878299236298,17101.62890625,42105.81154785156,-1.9366840675473214,0.2,0.003970134,-0.0001444472130970098,0.39351046085357666,0.0170135498046875,2840,,
